"Time,s","腰椎屈曲,deg","Lumbar Lateral - RT,deg","Lumbar Axial - RT,deg","胸椎屈曲,deg","Thoracic Lateral - RT,deg","Thoracic Axial - RT,deg","肘关节屈曲 左,deg","肘关节屈曲 右,deg","总肩屈曲 左,deg","总肩屈曲 右,deg","肩屈曲 左,deg","肩屈曲 右,deg","肩外展 左,deg","肩外展 右,deg","Shoulder Rotation - out 左,deg","Shoulder Rotation - out 右,deg","伸腕 左,deg","伸腕 右,deg","手腕径向 左,deg","手腕径向 右,deg","Wrist Supination 左,deg","Wrist Supination 右,deg","髋关节屈曲 左,deg","髋关节屈曲 右,deg","髋关节外展 左,deg","髋关节外展 右,deg","Hip Rotation - out 左,deg","Hip Rotation - out 右,deg","膝关节屈曲 左,deg","膝关节屈曲 右,deg","踝关节背屈 左,deg","踝关节背屈 右,deg","踝关节反转 左,deg","踝关节反转 右,deg","踝关节外展 左,deg","踝关节外展 右,deg","脊椎上部 course,deg","脊椎上部 pitch,deg","脊椎上部 roll,deg","上臂 course 左,deg","上臂 pitch 左,deg","上臂 roll 左,deg","前臂 course 左,deg","前臂 pitch 左,deg","前臂 roll 左,deg","手 course 左,deg","手 pitch 左,deg","手 roll 左,deg","上臂 course 右,deg","上臂 pitch 右,deg","上臂 roll 右,deg","前臂 course 右,deg","前臂 pitch 右,deg","前臂 roll 右,deg","手 course 右,deg","手 pitch 右,deg","手 roll 右,deg","脊椎下部 course,deg","脊椎下部 pitch,deg","脊椎下部 roll,deg","骨盆 course,deg","骨盆 pitch,deg","骨盆 roll,deg","大腿 course 左,deg","大腿 pitch 左,deg","大腿 roll 左,deg","胫骨 course 左,deg","胫骨 pitch 左,deg","胫骨 roll 左,deg","脚 course 左,deg","脚 pitch 左,deg","脚 roll 左,deg","大腿 course 右,deg","大腿 pitch 右,deg","大腿 roll 右,deg","胫骨 course 右,deg","胫骨 pitch 右,deg","胫骨 roll 右,deg","脚 course 右,deg","脚 pitch 右,deg","脚 roll 右,deg","脊椎上部 Accel Earth X,mG","脊椎上部 Accel Earth Y,mG","脊椎上部 Accel Earth Z,mG","上臂 Accel Earth X 左,mG","上臂 Accel Earth Y 左,mG","上臂 Accel Earth Z 左,mG","前臂 Accel Earth X 左,mG","前臂 Accel Earth Y 左,mG","前臂 Accel Earth Z 左,mG","手 Accel Earth X 左,mG","手 Accel Earth Y 左,mG","手 Accel Earth Z 左,mG","上臂 Accel Earth X 右,mG","上臂 Accel Earth Y 右,mG","上臂 Accel Earth Z 右,mG","前臂 Accel Earth X 右,mG","前臂 Accel Earth Y 右,mG","前臂 Accel Earth Z 右,mG","手 Accel Earth X 右,mG","手 Accel Earth Y 右,mG","手 Accel Earth Z 右,mG","脊椎下部 Accel Earth X,mG","脊椎下部 Accel Earth Y,mG","脊椎下部 Accel Earth Z,mG","骨盆 Accel Earth X,mG","骨盆 Accel Earth Y,mG","骨盆 Accel Earth Z,mG","大腿 Accel Earth X 左,mG","大腿 Accel Earth Y 左,mG","大腿 Accel Earth Z 左,mG","胫骨 Accel Earth X 左,mG","胫骨 Accel Earth Y 左,mG","胫骨 Accel Earth Z 左,mG","脚 Accel Earth X 左,mG","脚 Accel Earth Y 左,mG","脚 Accel Earth Z 左,mG","大腿 Accel Earth X 右,mG","大腿 Accel Earth Y 右,mG","大腿 Accel Earth Z 右,mG","胫骨 Accel Earth X 右,mG","胫骨 Accel Earth Y 右,mG","胫骨 Accel Earth Z 右,mG","脚 Accel Earth X 右,mG","脚 Accel Earth Y 右,mG","脚 Accel Earth Z 右,mG","脊椎上部 Rot X,","脊椎上部 Rot Y,","脊椎上部 Rot Z,","左 上臂 Rot X,","左 上臂 Rot Y,","左 上臂 Rot Z,","左 前臂 Rot X,","左 前臂 Rot Y,","左 前臂 Rot Z,","左 手 Rot X,","左 手 Rot Y,","左 手 Rot Z,","右 上臂 Rot X,","右 上臂 Rot Y,","右 上臂 Rot Z,","右 前臂 Rot X,","右 前臂 Rot Y,","右 前臂 Rot Z,","右 手 Rot X,","右 手 Rot Y,","右 手 Rot Z,","脊椎下部 Rot X,","脊椎下部 Rot Y,","脊椎下部 Rot Z,","骨盆 Rot X,","骨盆 Rot Y,","骨盆 Rot Z,","左 大腿 Rot X,","左 大腿 Rot Y,","左 大腿 Rot Z,","左 胫骨 Rot X,","左 胫骨 Rot Y,","左 胫骨 Rot Z,","左 脚 Rot X,","左 脚 Rot Y,","左 脚 Rot Z,","右 大腿 Rot X,","右 大腿 Rot Y,","右 大腿 Rot Z,","右 胫骨 Rot X,","右 胫骨 Rot Y,","右 胫骨 Rot Z,","右 脚 Rot X,","右 脚 Rot Y,","右 脚 Rot Z,"
0,-0.762,-2.969,-1.732,1.803,2.248,-2.529,8.632,5.948,4.563,1.866,4.493,0.04447,-0.7982,-1.866,-46.25,-40.46,7.059,3.592,2.477,0.09368,33.96,36.69,-2.839,-1.495,1.805,0.7221,0.9967,13.22,-0.3885,-0.2129,0.8195,0.493,-0.08897,3.076,-2.444,-3.42,-87.23,-0.3434,-0.6443,-40.94,3.909,2.004,-40.63,12.54,2.049,14.01,-1.554,13.98,-127.7,0.565,1.124,-127.6,6.512,1.131,179.2,1.209,-4.639,-84.76,1.585,-2.825,-83.01,0.8185,0.1691,-84.02,-1.986,2.009,-84.01,-1.598,1.92,-81.54,-0.8604,1.974,-69.8,-0.5314,-0.6927,-69.8,-0.3174,-1.957,-73.24,0.05767,1.113,-2.292,-10.32,5.33,0.3857,20.86,-7.427,-2.588,4.182,1.458,-4.14,-9.641,4.346,-1.358,-10.01,-5.204,-10.97,1.622,-0.7869,-0.3415,7.55,-4.028,6.249,-0.5185,-6.168,-11.76,-4.512,0.3055,-3.651,1.374,-1.513,7.919,3.78,-1.005,1.378,1.52,-3.941,-10.74,-2.992,-2.852,-5.836,-11.92,0.5533,14.64,0.5531,1.71,0.5416,-0.01117,0.8385,0.485,-0.5088,0.393,0.6577,-0.3557,0.4704,0.4218,-0.5876,0.3153,-0.381,-0.5583,-0.419,-0.6971,-0.2487,-0.6025,-0.5796,-0.518,-0.5374,0.7698,-0.04492,0.6362,0.6647,-0.05268,0.7452,0.4303,-0.6079,0.395,0.3667,-0.6148,0.4334,0.1187,-0.1759,0.02667,-0.5954,-0.4036,-0.5829,-0.5985,-0.4496,-0.5554,-0.1232,-0.1052,-0.303
0.01,-0.7472,-2.967,-1.739,1.789,2.244,-2.51,8.615,5.942,4.565,1.858,4.493,0.05139,-0.8075,-1.858,-46.27,-40.45,7.056,3.595,2.464,0.09032,33.96,36.68,-2.849,-1.503,1.791,0.7351,0.9945,13.23,-0.4049,-0.2189,0.8074,0.4987,-0.08144,3.085,-2.451,-3.419,-87.23,-0.3434,-0.6346,-40.93,3.909,2.005,-40.62,12.52,2.049,14.02,-1.561,13.95,-127.7,0.5712,1.121,-127.6,6.512,1.128,179.2,1.203,-4.639,-84.78,1.569,-2.812,-83.02,0.8172,0.1795,-84.03,-1.997,2.006,-84.01,-1.592,1.92,-81.54,-0.8663,1.966,-69.8,-0.5419,-0.6979,-69.8,-0.3238,-1.965,-73.24,0.05767,1.113,-0.5636,-9.694,-8.973,-3.086,16.74,1.002,0.08174,3.614,4.187,-1.623,-3.399,7.207,-0.1393,-2.407,2.75,-23.11,3.578,-2.361,-2.466,10.73,-2.041,-2.643,-5.71,4.755,-5.235,-8.771,4.747,-5.592,12.9,7.384,-10.17,-0.4124,3.618,-0.5168,7.347,-1.452,1.921,0.9074,2.902,-8.263,-0.5397,-3.135,17.79,-0.5531,-3.176,0.5416,-0.01111,0.8385,0.485,-0.5088,0.393,0.6576,-0.3557,0.4706,0.4217,-0.5877,0.3154,-0.381,-0.5582,-0.419,-0.6971,-0.2487,-0.6025,-0.5795,-0.518,-0.5375,0.7697,-0.04474,0.6363,0.6647,-0.05255,0.7452,0.4304,-0.6079,0.3952,0.3668,-0.6148,0.4334,0.1188,-0.176,0.02667,-0.5953,-0.4036,-0.5829,-0.5984,-0.4496,-0.5555,-0.1232,-0.1052,-0.303
0.02,-0.7374,-2.96,-1.738,1.784,2.252,-2.502,8.595,5.949,4.554,1.841,4.479,0.0415,-0.819,-1.84,-46.27,-40.45,7.058,3.596,2.469,0.08333,33.97,36.68,-2.863,-1.522,1.795,0.7301,0.9824,13.24,-0.4104,-0.2309,0.8112,0.501,-0.08467,3.102,-2.454,-3.414,-87.24,-0.3431,-0.6228,-40.93,3.899,1.996,-40.62,12.49,2.04,14.02,-1.571,13.93,-127.7,0.5602,1.122,-127.6,6.508,1.13,179.2,1.201,-4.627,-84.8,1.565,-2.809,-83.04,0.8222,0.176,-84.03,-2.006,2.006,-84.02,-1.595,1.917,-81.54,-0.8663,1.966,-69.8,-0.5542,-0.7001,-69.81,-0.3253,-1.975,-73.24,0.05767,1.12,8.867,-8.261,-8.129,-6.63,12.04,1.493,2.316,14.66,-0.8412,-7.549,-8.838,1.374,-0.2786,-6.044,-3.932,-10.38,0.8806,3.062,2.011,6.279,-1.905,-1.263,-4.211,-4.381,2.609,-15.9,-0.2115,-2.634,7.181,-5.326,-12.72,-6.117,-1.005,-3.273,0.2533,-2.281,-6.312,-3.752,-1.351,-5.574,-4.612,-2.951,22.39,6.859,-1.71,0.5416,-0.01099,0.8385,0.4849,-0.5088,0.3931,0.6574,-0.3558,0.4707,0.4215,-0.5877,0.3156,-0.3809,-0.5583,-0.4191,-0.6971,-0.2487,-0.6025,-0.5795,-0.518,-0.5375,0.7697,-0.04462,0.6363,0.6648,-0.05249,0.7452,0.4305,-0.6079,0.3953,0.3668,-0.6148,0.4334,0.1188,-0.176,0.02667,-0.5952,-0.4037,-0.5829,-0.5984,-0.4496,-0.5555,-0.1232,-0.1052,-0.303
0.03,-0.7226,-2.967,-1.745,1.769,2.25,-2.496,8.575,5.939,4.549,1.839,4.476,0.0415,-0.8182,-1.839,-46.29,-40.44,7.044,3.6,2.462,0.07942,33.98,36.69,-2.869,-1.536,1.778,0.7464,0.9703,13.24,-0.4159,-0.2399,0.8149,0.4953,-0.08789,3.107,-2.451,-3.402,-87.25,-0.3428,-0.6208,-40.92,3.893,1.996,-40.62,12.46,2.04,14.02,-1.571,13.9,-127.7,0.5602,1.122,-127.6,6.499,1.13,179.2,1.192,-4.615,-84.81,1.549,-2.806,-83.05,0.8211,0.1863,-84.03,-2.015,1.999,-84.01,-1.599,1.913,-81.54,-0.8663,1.966,-69.81,-0.5682,-0.7093,-69.82,-0.3269,-1.979,-73.24,0.04998,1.121,13.99,-7.594,-2.687,0.5326,16.89,-1.606,-0.109,11.73,0.3552,-10.55,-6.43,5.907,6.843,-4.303,6.818,-11.83,3.624,2.829,-3.605,0.7319,-1.633,6.199,-1.002,-6.197,-7.699,-3.036,-4.042,-7.857,-9.708,-0.9079,-1.098,-2.612,-3.015,1.206,6.207,2.074,-0.1176,8.412,-2.802,-5.049,-7.556,4.426,25.83,5.421,6.84,0.5416,-0.01093,0.8385,0.4849,-0.5088,0.3931,0.6573,-0.3558,0.4709,0.4214,-0.5879,0.3157,-0.3809,-0.5583,-0.4191,-0.697,-0.2487,-0.6026,-0.5794,-0.518,-0.5376,0.7696,-0.0445,0.6364,0.6648,-0.05237,0.7452,0.4305,-0.6079,0.3954,0.3668,-0.6148,0.4334,0.1188,-0.176,0.02667,-0.5951,-0.4038,-0.583,-0.5983,-0.4497,-0.5555,-0.1232,-0.1052,-0.3031
0.04,-0.7124,-2.955,-1.751,1.744,2.246,-2.477,8.552,5.93,4.537,1.836,4.46,0.02372,-0.8346,-1.836,-46.28,-40.45,7.053,3.61,2.46,0.09396,33.99,36.69,-2.887,-1.543,1.775,0.7464,0.968,13.23,-0.435,-0.2489,0.8149,0.4895,-0.08897,3.117,-2.45,-3.391,-87.25,-0.3274,-0.6112,-40.93,3.898,1.991,-40.62,12.44,2.034,14,-1.584,13.88,-127.7,0.5629,1.129,-127.6,6.493,1.136,179.2,1.184,-4.62,-84.83,1.539,-2.793,-83.06,0.8207,0.1867,-84.03,-2.033,1.997,-84.02,-1.599,1.907,-81.55,-0.8663,1.959,-69.83,-0.5752,-0.7099,-69.84,-0.3269,-1.99,-73.24,0.04422,1.122,3.62,-2.874,-0.2443,1.929,19.14,3.175,3.215,-2.047,-0.5608,-8.442,-3.309,-0.8916,4.127,2.792,4.045,-9.94,2.976,1.553,-3.643,5.123,-0.7348,1.878,-0.6306,-2.853,-0.451,-12.19,-0.8225,-6.609,6.738,5.266,-1.503,-1.581,2.814,0.5168,6.333,-1.452,-11.1,-4.046,-6.254,2.164,-6.574,-4.426,20.66,0.3319,5.13,0.5417,-0.01086,0.8384,0.485,-0.5088,0.3932,0.6572,-0.3557,0.4711,0.4214,-0.5879,0.3159,-0.3809,-0.5583,-0.419,-0.697,-0.2487,-0.6026,-0.5794,-0.5179,-0.5376,0.7696,-0.04431,0.6365,0.6648,-0.05231,0.7452,0.4305,-0.608,0.3955,0.3668,-0.6148,0.4334,0.1188,-0.176,0.02673,-0.5951,-0.4038,-0.583,-0.5982,-0.4497,-0.5555,-0.1232,-0.1053,-0.303
0.05,-0.7027,-2.951,-1.757,1.735,2.236,-2.466,8.542,5.912,4.527,1.844,4.451,0.01779,-0.8346,-1.844,-46.29,-40.47,7.044,3.617,2.454,0.09452,34.01,36.71,-2.904,-1.562,1.77,0.7548,0.9629,13.23,-0.4405,-0.2548,0.8074,0.4872,-0.09471,3.132,-2.452,-3.385,-87.25,-0.3177,-0.6113,-40.92,3.898,1.991,-40.62,12.44,2.034,13.99,-1.576,13.86,-127.7,0.5719,1.132,-127.6,6.482,1.14,179.2,1.175,-4.608,-84.84,1.538,-2.784,-83.06,0.8298,0.1928,-84.04,-2.041,1.997,-84.02,-1.599,1.907,-81.54,-0.8742,1.966,-69.84,-0.584,-0.715,-69.85,-0.3317,-2.004,-73.25,0.03653,1.122,-2.655,-3.673,-0.8218,4.573,10.45,-2.003,-0.1362,1.557,-0.4299,-16.44,0.8422,8.321,6.669,-5.032,-3.045,-7.538,1.974,1.17,-4.136,0.443,3.456,2.51,1.773,-3.401,-17.49,-0.4358,-2.561,-3.05,9.841,8.655,-7.11,13.06,3.618,0.8613,2.28,5.807,-4.665,-5.91,2.151,3.476,-5.201,-2.213,22.1,1.217,0.4886,0.5418,-0.01086,0.8384,0.485,-0.5088,0.3932,0.6572,-0.3557,0.4712,0.4214,-0.5879,0.3161,-0.3809,-0.5584,-0.4189,-0.6969,-0.2488,-0.6026,-0.5793,-0.5179,-0.5377,0.7696,-0.04419,0.6365,0.6648,-0.05225,0.7452,0.4305,-0.608,0.3955,0.3668,-0.6148,0.4334,0.1188,-0.176,0.02673,-0.595,-0.4039,-0.5831,-0.5981,-0.4497,-0.5556,-0.1232,-0.1054,-0.303
0.06,-0.692,-2.954,-1.777,1.74,2.236,-2.45,8.539,5.912,4.523,1.841,4.446,0.0168,-0.8335,-1.841,-46.3,-40.48,7.042,3.626,2.448,0.08389,34.03,36.72,-2.929,-1.583,1.753,0.761,0.9687,13.25,-0.4569,-0.2548,0.7972,0.4849,-0.09005,3.143,-2.465,-3.401,-87.26,-0.3174,-0.6092,-40.92,3.893,1.991,-40.62,12.43,2.034,13.97,-1.575,13.85,-127.7,0.5712,1.132,-127.6,6.482,1.14,179.2,1.166,-4.596,-84.86,1.542,-2.781,-83.07,0.8442,0.1994,-84.05,-2.053,1.988,-84.03,-1.595,1.911,-81.54,-0.8801,1.964,-69.82,-0.591,-0.7162,-69.83,-0.3349,-2.01,-73.25,0.03076,1.129,-3.807,-9.274,2.954,1.58,10.63,-1.965,-1.09,5.259,0.486,-16.97,0.2774,3.38,7.94,-4.328,0.4091,-15.97,-8.463,-0.1701,-5.009,1.098,-1.905,-0.831,-1.415,1.585,-8.038,-8.181,-0.47,-3.42,5.053,-2.603,-9.075,7.767,-4.421,2.067,8.107,-5.6,-11.88,-8.583,-9.006,-12,-9.812,-4.426,17.79,4.978,-3.908,0.5418,-0.0108,0.8384,0.4849,-0.5088,0.3932,0.6572,-0.3557,0.4713,0.4215,-0.5879,0.3162,-0.3808,-0.5584,-0.4188,-0.6968,-0.2489,-0.6026,-0.5792,-0.5179,-0.5378,0.7696,-0.04401,0.6365,0.6649,-0.05219,0.7451,0.4306,-0.608,0.3956,0.3669,-0.6148,0.4334,0.1188,-0.1761,0.02673,-0.5949,-0.404,-0.583,-0.5981,-0.4497,-0.5557,-0.1233,-0.1054,-0.303
0.07,-0.6971,-2.94,-1.784,1.75,2.228,-2.446,8.516,5.9,4.526,1.831,4.446,0.02174,-0.8528,-1.831,-46.3,-40.5,7.036,3.627,2.454,0.08249,34.05,36.75,-2.935,-1.597,1.748,0.769,0.9709,13.28,-0.4569,-0.2578,0.7963,0.4872,-0.09579,3.153,-2.471,-3.43,-87.27,-0.3172,-0.5975,-40.92,3.898,1.986,-40.62,12.41,2.029,13.96,-1.573,13.83,-127.8,0.576,1.129,-127.6,6.475,1.136,179.2,1.161,-4.59,-84.87,1.551,-2.762,-83.07,0.8483,0.2047,-84.05,-2.053,1.988,-84.04,-1.596,1.904,-81.54,-0.8821,1.963,-69.8,-0.5998,-0.7213,-69.81,-0.3413,-2.018,-73.25,0.02499,1.13,0.1252,-7.528,-2.976,1.763,8.107,-0.5858,4.114,-8.986,-8.73,-23.99,-3.854,3.715,13.35,-3.457,2.318,-6.942,-0.7045,-4.381,-10.17,-3.756,-0.2449,0.482,4.855,0.08646,-2.803,-4.189,-0.094,-1.849,5.275,-0.06053,-4.624,7.492,0.6029,0.3445,6.84,-1.244,-4.783,-0.1962,-2.452,-10.49,1.423,1.475,18.66,6.638,1.466,0.5418,-0.01068,0.8384,0.485,-0.5088,0.3932,0.6571,-0.3556,0.4715,0.4215,-0.5879,0.3164,-0.3807,-0.5585,-0.4186,-0.6968,-0.2489,-0.6026,-0.5792,-0.5179,-0.5379,0.7697,-0.04382,0.6364,0.665,-0.05213,0.745,0.4306,-0.608,0.3957,0.367,-0.6148,0.4334,0.1188,-0.1761,0.02674,-0.5948,-0.4041,-0.583,-0.5981,-0.4495,-0.5558,-0.1233,-0.1055,-0.3029
0.08,-0.6971,-2.932,-1.785,1.74,2.222,-2.445,8.522,5.892,4.516,1.828,4.435,0.02174,-0.8487,-1.827,-46.31,-40.51,7.03,3.628,2.432,0.08025,34.05,36.76,-2.938,-1.604,1.744,0.769,0.9655,13.3,-0.4733,-0.2608,0.786,0.4918,-0.09292,3.157,-2.475,-3.442,-87.27,-0.3072,-0.5953,-40.92,3.894,1.991,-40.62,12.41,2.034,13.95,-1.569,13.82,-127.8,0.5836,1.122,-127.7,6.473,1.129,179.1,1.154,-4.59,-84.88,1.551,-2.753,-83.08,0.8479,0.2053,-84.06,-2.058,1.984,-84.04,-1.585,1.907,-81.54,-0.8821,1.963,-69.79,-0.6068,-0.7224,-69.8,-0.3445,-2.022,-73.25,0.02499,1.129,2.705,-5.214,0.1111,2.296,15.98,-1.946,-2.316,2.8,0.8038,-20.42,5.063,8.21,11.68,-1.793,0.04545,-1.683,-7.953,-0.3403,-6.451,-4.873,-2.558,8.26,0.6726,-1.528,-0.2255,-13.59,5.029,-15.34,2.261,6.295,4.046,-1.581,0.6029,-3.962,2.407,0.8296,1.098,-3.458,5.053,-10.56,-3.925,4.795,15.21,2.434,-3.908,0.5418,-0.01062,0.8383,0.485,-0.5088,0.3933,0.6572,-0.3556,0.4716,0.4215,-0.588,0.3165,-0.3806,-0.5585,-0.4185,-0.6968,-0.249,-0.6026,-0.5791,-0.518,-0.5379,0.7697,-0.0437,0.6364,0.665,-0.05207,0.745,0.4307,-0.6079,0.3957,0.367,-0.6147,0.4334,0.1188,-0.1761,0.02674,-0.5947,-0.4042,-0.5831,-0.5981,-0.4495,-0.5559,-0.1233,-0.1055,-0.3029
0.09,-0.6664,-2.93,-1.801,1.719,2.225,-2.431,8.52,5.878,4.512,1.815,4.431,0.02569,-0.8543,-1.814,-46.29,-40.52,7.018,3.629,2.429,0.07802,34.05,36.77,-2.964,-1.626,1.728,0.782,0.9671,13.31,-0.4843,-0.2638,0.7805,0.4872,-0.09758,3.175,-2.491,-3.444,-87.28,-0.3012,-0.5837,-40.95,3.89,1.995,-40.64,12.41,2.039,13.94,-1.565,13.81,-127.8,0.5905,1.114,-127.7,6.467,1.121,179.1,1.144,-4.586,-84.9,1.535,-2.746,-83.09,0.8623,0.2117,-84.07,-2.069,1.975,-84.05,-1.586,1.901,-81.53,-0.888,1.961,-69.79,-0.6121,-0.7304,-69.79,-0.3477,-2.033,-73.25,0.0173,1.137,-3.294,-9.496,-0.5553,1.855,11.09,-1.002,1.744,-11.01,-6.487,-14.37,2.665,5.312,13.42,-3.547,-2.114,-4.716,-7.972,-1.872,-9.752,-6.799,-4,0.133,-7.945,4.669,6.121,-6.972,1.762,-2.727,8.644,-4.176,-6.936,-2.062,-1.407,4.651,6.207,-3.111,-4.469,-5.469,2.151,-6.099,-13.59,3.135,30.71,9.403,0.9771,0.5419,-0.0105,0.8383,0.4851,-0.5086,0.3934,0.6572,-0.3554,0.4717,0.4215,-0.588,0.3165,-0.3806,-0.5585,-0.4184,-0.6967,-0.249,-0.6026,-0.579,-0.518,-0.5379,0.7696,-0.04352,0.6365,0.6651,-0.052,0.745,0.4307,-0.608,0.3958,0.3671,-0.6147,0.4334,0.1188,-0.1762,0.02667,-0.5946,-0.4042,-0.5831,-0.5981,-0.4494,-0.556,-0.1234,-0.1055,-0.3029
