"Time,s","腰椎屈曲,deg","Lumbar Lateral - RT,deg","Lumbar Axial - RT,deg","胸椎屈曲,deg","Thoracic Lateral - RT,deg","Thoracic Axial - RT,deg","肘关节屈曲 左,deg","肘关节屈曲 右,deg","总肩屈曲 左,deg","总肩屈曲 右,deg","肩屈曲 左,deg","肩屈曲 右,deg","肩外展 左,deg","肩外展 右,deg","Shoulder Rotation - out 左,deg","Shoulder Rotation - out 右,deg","伸腕 左,deg","伸腕 右,deg","手腕径向 左,deg","手腕径向 右,deg","Wrist Supination 左,deg","Wrist Supination 右,deg","髋关节屈曲 左,deg","髋关节屈曲 右,deg","髋关节外展 左,deg","髋关节外展 右,deg","Hip Rotation - out 左,deg","Hip Rotation - out 右,deg","膝关节屈曲 左,deg","膝关节屈曲 右,deg","踝关节背屈 左,deg","踝关节背屈 右,deg","踝关节反转 左,deg","踝关节反转 右,deg","踝关节外展 左,deg","踝关节外展 右,deg","脊椎上部 course,deg","脊椎上部 pitch,deg","脊椎上部 roll,deg","上臂 course 左,deg","上臂 pitch 左,deg","上臂 roll 左,deg","前臂 course 左,deg","前臂 pitch 左,deg","前臂 roll 左,deg","手 course 左,deg","手 pitch 左,deg","手 roll 左,deg","上臂 course 右,deg","上臂 pitch 右,deg","上臂 roll 右,deg","前臂 course 右,deg","前臂 pitch 右,deg","前臂 roll 右,deg","手 course 右,deg","手 pitch 右,deg","手 roll 右,deg","脊椎下部 course,deg","脊椎下部 pitch,deg","脊椎下部 roll,deg","骨盆 course,deg","骨盆 pitch,deg","骨盆 roll,deg","大腿 course 左,deg","大腿 pitch 左,deg","大腿 roll 左,deg","胫骨 course 左,deg","胫骨 pitch 左,deg","胫骨 roll 左,deg","脚 course 左,deg","脚 pitch 左,deg","脚 roll 左,deg","大腿 course 右,deg","大腿 pitch 右,deg","大腿 roll 右,deg","胫骨 course 右,deg","胫骨 pitch 右,deg","胫骨 roll 右,deg","脚 course 右,deg","脚 pitch 右,deg","脚 roll 右,deg","脊椎上部 Accel Earth X,mG","脊椎上部 Accel Earth Y,mG","脊椎上部 Accel Earth Z,mG","上臂 Accel Earth X 左,mG","上臂 Accel Earth Y 左,mG","上臂 Accel Earth Z 左,mG","前臂 Accel Earth X 左,mG","前臂 Accel Earth Y 左,mG","前臂 Accel Earth Z 左,mG","手 Accel Earth X 左,mG","手 Accel Earth Y 左,mG","手 Accel Earth Z 左,mG","上臂 Accel Earth X 右,mG","上臂 Accel Earth Y 右,mG","上臂 Accel Earth Z 右,mG","前臂 Accel Earth X 右,mG","前臂 Accel Earth Y 右,mG","前臂 Accel Earth Z 右,mG","手 Accel Earth X 右,mG","手 Accel Earth Y 右,mG","手 Accel Earth Z 右,mG","脊椎下部 Accel Earth X,mG","脊椎下部 Accel Earth Y,mG","脊椎下部 Accel Earth Z,mG","骨盆 Accel Earth X,mG","骨盆 Accel Earth Y,mG","骨盆 Accel Earth Z,mG","大腿 Accel Earth X 左,mG","大腿 Accel Earth Y 左,mG","大腿 Accel Earth Z 左,mG","胫骨 Accel Earth X 左,mG","胫骨 Accel Earth Y 左,mG","胫骨 Accel Earth Z 左,mG","脚 Accel Earth X 左,mG","脚 Accel Earth Y 左,mG","脚 Accel Earth Z 左,mG","大腿 Accel Earth X 右,mG","大腿 Accel Earth Y 右,mG","大腿 Accel Earth Z 右,mG","胫骨 Accel Earth X 右,mG","胫骨 Accel Earth Y 右,mG","胫骨 Accel Earth Z 右,mG","脚 Accel Earth X 右,mG","脚 Accel Earth Y 右,mG","脚 Accel Earth Z 右,mG","脊椎上部 Rot X,","脊椎上部 Rot Y,","脊椎上部 Rot Z,","左 上臂 Rot X,","左 上臂 Rot Y,","左 上臂 Rot Z,","左 前臂 Rot X,","左 前臂 Rot Y,","左 前臂 Rot Z,","左 手 Rot X,","左 手 Rot Y,","左 手 Rot Z,","右 上臂 Rot X,","右 上臂 Rot Y,","右 上臂 Rot Z,","右 前臂 Rot X,","右 前臂 Rot Y,","右 前臂 Rot Z,","右 手 Rot X,","右 手 Rot Y,","右 手 Rot Z,","脊椎下部 Rot X,","脊椎下部 Rot Y,","脊椎下部 Rot Z,","骨盆 Rot X,","骨盆 Rot Y,","骨盆 Rot Z,","左 大腿 Rot X,","左 大腿 Rot Y,","左 大腿 Rot Z,","左 胫骨 Rot X,","左 胫骨 Rot Y,","左 胫骨 Rot Z,","左 脚 Rot X,","左 脚 Rot Y,","左 脚 Rot Z,","右 大腿 Rot X,","右 大腿 Rot Y,","右 大腿 Rot Z,","右 胫骨 Rot X,","右 胫骨 Rot Y,","右 胫骨 Rot Z,","右 脚 Rot X,","右 脚 Rot Y,","右 脚 Rot Z,",Markers,MarkerNames
0,2.792,1.114,-0.8229,1.059,-3.537,-0.3867,2.573,3.235,2.043,0.6112,0.8397,0.4242,1.863,-0.4392,-36.93,-44.84,4.45,2.687,3.431,1.624,35.74,35.47,-5.86,-4.509,-0.8973,-0.7988,0.3356,1.845,0.06998,1.437,-1.761,0.1289,-1.814,-0.08196,1.609,-1.303,20.39,1.938,-2.977,57.34,2.889,0.7787,57.38,5.461,0.781,111.1,-1.848,8.318,-24.42,-0.1144,-3.465,-24.61,3.114,-3.469,-78.72,-3.685,-6.186,20.76,2.993,0.5785,21.59,5.792,-0.4514,21.3,-0.07597,-1.346,21.3,-0.1461,-1.924,19.75,-1.961,-0.05678,23.47,1.271,0.3907,23.46,-0.1664,0.03778,22.16,-0.03632,-0.04364,7.835,0.1534,7.317,19.3,14.66,2.983,17.65,7.509,2.191,25.15,-2.088,-0.8334,1.745,-1.92,-6.132,-2.129,1.051,-6.367,-10.28,-17.53,-6.677,1.982,5.083,2.125,-2.82,0.9301,-0.8263,12.45,21.45,6.179,3.618,6.232,14.12,0.842,3.424,-1.114,-6.671,12.82,-3.83,-1.223,19.69,-1.282,-1.636,10.75,-9.861,0.2802,-0.4491,0.503,-0.37,-0.6164,-0.3372,0.09748,-0.7533,-0.1377,-0.1956,-0.5849,-0.3664,-0.656,-0.09516,-0.7455,-0.6452,0.2775,-0.7118,-0.5787,0.1149,-0.8073,0.4378,-0.6994,0.3373,0.3612,-0.5109,0.4231,-0.3052,-0.669,-0.2381,-0.237,-0.7217,-0.2824,-0.1854,-0.2095,-0.8293,0.6932,-0.2341,0.6502,0.7178,-0.2235,0.6423,-0.228,0.1003,-0.9106,0,
0.01,2.803,1.104,-0.8229,1.04,-3.513,-0.4098,2.592,3.284,2.038,0.6307,0.8489,0.4509,1.853,-0.4408,-36.94,-44.86,4.441,2.717,3.442,1.638,35.77,35.46,-5.828,-4.481,-0.8985,-0.7955,0.2899,1.853,0.1378,1.485,-1.72,0.1447,-1.853,-0.1035,1.623,-1.297,20.35,1.947,-2.969,57.31,2.906,0.7875,57.35,5.499,0.7911,111,-1.822,8.364,-24.47,-0.08298,-3.485,-24.67,3.195,-3.489,-78.77,-3.684,-6.276,20.74,2.984,0.5632,21.57,5.794,-0.4566,21.33,-0.04091,-1.353,21.33,-0.1782,-1.973,19.77,-1.954,-0.06637,23.46,1.301,0.3834,23.45,-0.1832,0.04982,22.16,-0.03632,-0.05356,13.47,-0.6781,4.43,16.56,28.5,7.776,13.76,8.924,8.796,14.36,-4.038,-0.8855,0.1163,-0.4742,0.02762,4.233,-17.72,-1.544,-11.29,-19.87,-9.573,-3.714,-15.7,-3.366,4.205,3.931,-1.262,18.3,12.64,5.69,-2.994,-3.095,6.42,0.9623,3.268,-5.045,2.712,11.92,1.055,-0.5239,18.92,2.52,2.153,4.722,7.356,0.2804,-0.4491,0.5032,-0.3696,-0.6165,-0.3371,0.09796,-0.7533,-0.1376,-0.195,-0.5851,-0.3662,-0.6559,-0.09528,-0.7455,-0.6454,0.2774,-0.7116,-0.5786,0.1152,-0.8072,0.4378,-0.6994,0.3375,0.3612,-0.5109,0.4232,-0.3051,-0.669,-0.2384,-0.2373,-0.7219,-0.2824,-0.1854,-0.2095,-0.8294,0.6931,-0.2343,0.6503,0.7179,-0.2233,0.6422,-0.2279,0.1002,-0.9106,0,
0.02,2.799,1.097,-0.8258,1.031,-3.482,-0.4353,2.614,3.326,2.029,0.6321,0.8568,0.4584,1.84,-0.4357,-36.97,-44.88,4.422,2.745,3.433,1.675,35.82,35.45,-5.799,-4.451,-0.9064,-0.7955,0.2516,1.861,0.1951,1.53,-1.695,0.1683,-1.882,-0.1165,1.635,-1.302,20.31,1.961,-2.946,57.3,2.916,0.8104,57.34,5.53,0.8139,110.9,-1.799,8.39,-24.53,-0.05607,-3.486,-24.73,3.263,-3.492,-78.84,-3.674,-6.371,20.73,2.988,0.5571,21.56,5.794,-0.4551,21.35,-0.01071,-1.359,21.36,-0.2071,-2.011,19.78,-1.956,-0.07595,23.45,1.331,0.386,23.45,-0.1984,0.05721,22.15,-0.02906,-0.05852,-4.729,11.15,5.409,16.88,33.7,6.081,2.738,16.79,16.83,18.43,2.297,12.53,2.481,6.33,4.144,1.906,-20.95,-4.885,-9.13,-35.38,1.006,6.171,-24.62,-14.11,4.779,14.52,-3.35,11.74,4.464,3.553,-8.668,-9.115,5.796,-3.428,8.792,6.487,12.8,16.09,-2.072,-2.008,15.54,5.614,1.292,5.405,0,0.2808,-0.4489,0.5033,-0.3695,-0.6165,-0.3372,0.09833,-0.7534,-0.1376,-0.1945,-0.5854,-0.366,-0.6559,-0.09552,-0.7455,-0.6456,0.2774,-0.7115,-0.5786,0.1155,-0.8072,0.4379,-0.6993,0.3376,0.3613,-0.5108,0.4232,-0.305,-0.669,-0.2387,-0.2376,-0.7221,-0.2823,-0.1854,-0.2096,-0.8295,0.6931,-0.2344,0.6503,0.7179,-0.2232,0.6422,-0.2279,0.1002,-0.9106,0,
0.03,2.78,1.095,-0.8469,1.044,-3.452,-0.4337,2.63,3.383,2.022,0.6232,0.8724,0.4673,1.824,-0.4121,-37.01,-44.9,4.404,2.774,3.428,1.7,35.88,35.44,-5.769,-4.425,-0.9168,-0.794,0.2221,1.861,0.2439,1.579,-1.681,0.188,-1.91,-0.1175,1.656,-1.29,20.28,1.971,-2.922,57.31,2.931,0.8357,57.35,5.561,0.838,110.9,-1.778,8.422,-24.59,-0.04336,-3.498,-24.8,3.333,-3.504,-78.9,-3.675,-6.459,20.69,3.012,0.5519,21.55,5.798,-0.4568,21.37,0.02435,-1.371,21.38,-0.2199,-2.041,19.78,-1.956,-0.07595,23.44,1.361,0.3838,23.44,-0.2183,0.05886,22.15,-0.02906,-0.05852,-13.7,7.62,4.214,15.22,28.81,6.814,17.64,10.53,6.945,15.55,1.323,5.235,4.226,4.528,9.82,-9.308,-23.4,8.605,-7.845,-35.59,3.459,-0.7818,-19.84,-8.309,3.695,3.857,-0.1803,10.37,-4.548,-2.858,7.315,-15.94,6.2,3.669,13.23,-4.652,5.857,18.67,1.329,-8.601,7.296,1.591,3.789,9.319,-6.224,0.2811,-0.4488,0.5034,-0.3694,-0.6164,-0.3374,0.09864,-0.7534,-0.1377,-0.194,-0.5855,-0.366,-0.6557,-0.09577,-0.7455,-0.6458,0.2772,-0.7113,-0.5785,0.1157,-0.8072,0.4381,-0.6993,0.3377,0.3614,-0.5108,0.4233,-0.305,-0.669,-0.2391,-0.2378,-0.7222,-0.2823,-0.1854,-0.2096,-0.8295,0.693,-0.2346,0.6503,0.718,-0.223,0.6422,-0.2279,0.1002,-0.9106,0,
0.04,2.743,1.1,-0.8656,1.076,-3.431,-0.418,2.639,3.435,2.012,0.6202,0.8855,0.4776,1.806,-0.395,-37.04,-44.94,4.382,2.798,3.427,1.723,35.91,35.41,-5.739,-4.399,-0.9271,-0.7871,0.2046,1.876,0.3032,1.626,-1.649,0.1993,-1.933,-0.1299,1.656,-1.295,20.27,1.98,-2.899,57.32,2.945,0.8535,57.36,5.583,0.8557,110.9,-1.754,8.449,-24.64,-0.02915,-3.507,-24.85,3.401,-3.513,-78.98,-3.668,-6.543,20.66,3.052,0.5535,21.54,5.803,-0.4584,21.38,0.05942,-1.383,21.39,-0.244,-2.069,19.79,-1.952,-0.08259,23.45,1.392,0.3767,23.44,-0.2351,0.06652,22.14,-0.03451,-0.06249,-15.35,9.122,5.84,4.065,19.22,-1.891,6.568,10.8,-7.607,19.63,-0.1044,-1.484,5.816,6.235,6.063,4.506,-9.457,5.012,-4.734,-32.56,-2.856,-6.911,-4.592,-4.107,-3.512,0.7564,-2.719,-1.786,-9.429,-0.5149,1.093,-15.86,0.4402,13.41,-7.158,6.814,7.647,23.62,-5.785,-4.017,13.52,-3.359,1.808,-5.405,-2.263,0.2813,-0.4488,0.5034,-0.3693,-0.6163,-0.3375,0.09888,-0.7535,-0.1377,-0.1937,-0.5857,-0.366,-0.6557,-0.09601,-0.7455,-0.646,0.2772,-0.7112,-0.5785,0.1159,-0.8071,0.4384,-0.6994,0.3376,0.3614,-0.5108,0.4234,-0.3049,-0.669,-0.2395,-0.238,-0.7224,-0.2822,-0.1853,-0.2096,-0.8296,0.693,-0.2348,0.6504,0.718,-0.223,0.6421,-0.2279,0.1002,-0.9106,0,
0.05,2.707,1.114,-0.8768,1.118,-3.434,-0.4308,2.645,3.475,2.012,0.6381,0.9038,0.4984,1.797,-0.397,-37.09,-44.97,4.368,2.809,3.44,1.748,35.96,35.4,-5.711,-4.357,-0.9326,-0.8006,0.1984,1.883,0.3478,1.691,-1.64,0.2249,-1.959,-0.1321,1.643,-1.3,20.24,1.975,-2.896,57.34,2.959,0.8598,57.38,5.603,0.862,110.9,-1.729,8.479,-24.7,-0.01495,-3.517,-24.91,3.454,-3.523,-79.04,-3.654,-6.616,20.65,3.089,0.56,21.53,5.804,-0.4646,21.37,0.08864,-1.395,21.39,-0.2584,-2.095,19.8,-1.958,-0.08185,23.45,1.436,0.3856,23.44,-0.2549,0.06378,22.14,-0.02724,-0.06745,-7.229,0.2422,0.6139,-2.721,8.495,-2.299,8.181,2.721,-12.75,13.99,2.611,-11.09,-2.171,5.168,3.066,5.372,-11.14,5.484,-14.41,-39.52,-5.51,-13.32,7.962,-3.987,-7.051,13.33,3.335,-3.466,-4.923,-1.004,0.2863,-6.444,4.659,-2.225,-5.524,-0.3276,0.2712,14.29,1.368,4.89,17.08,-7.559,1.636,-5.529,13.9,0.2814,-0.4486,0.5036,-0.3693,-0.6162,-0.3377,0.09906,-0.7535,-0.1378,-0.1934,-0.5859,-0.366,-0.6556,-0.09626,-0.7454,-0.6462,0.277,-0.711,-0.5786,0.1161,-0.807,0.4387,-0.6994,0.3375,0.3614,-0.5108,0.4234,-0.3049,-0.669,-0.2398,-0.2381,-0.7225,-0.2821,-0.1854,-0.2096,-0.8296,0.693,-0.2351,0.6504,0.7181,-0.2229,0.6421,-0.2278,0.1002,-0.9106,0,
0.06,2.67,1.124,-0.887,1.144,-3.449,-0.4564,2.657,3.512,2.026,0.6501,0.9078,0.4969,1.812,-0.4179,-37.15,-45,4.334,2.825,3.428,1.763,36.02,35.41,-5.69,-4.322,-0.9303,-0.8161,0.1906,1.869,0.3923,1.748,-1.615,0.2495,-1.971,-0.1386,1.646,-1.287,20.2,1.992,-2.907,57.37,2.971,0.8776,57.41,5.629,0.881,110.8,-1.69,8.495,-24.76,7.48E-04,-3.52,-24.98,3.506,-3.526,-79.1,-3.643,-6.676,20.64,3.131,0.5654,21.53,5.809,-0.4677,21.38,0.114,-1.396,21.4,-0.2777,-2.114,19.81,-1.952,-0.08849,23.43,1.475,0.3991,23.43,-0.2748,0.06543,22.14,-0.02361,-0.0734,-4.278,2.954,-5.359,-4.209,12.29,-13.69,7.727,3.619,-9.374,16.16,2.819,-9.61,-2.578,2.371,-0.3729,0.9655,-7.916,0.1261,-4.734,-42.66,-9.573,-14.62,15.4,-1.791,-4.022,4.117,-9.795,-5.094,2.587,-5.715,-2.004,3.392,-0.9538,4.33,2.879,-0.5897,2.929,10.01,-0.9772,0.9169,18.8,-6.542,4.133,5.281,8.002,0.2816,-0.4487,0.5038,-0.3693,-0.6161,-0.338,0.09924,-0.7536,-0.1378,-0.1931,-0.5862,-0.3659,-0.6555,-0.09656,-0.7454,-0.6464,0.2769,-0.7109,-0.5786,0.1162,-0.807,0.4389,-0.6996,0.3373,0.3614,-0.5109,0.4234,-0.3048,-0.669,-0.2401,-0.2382,-0.7226,-0.282,-0.1853,-0.2096,-0.8296,0.6931,-0.2352,0.6503,0.7181,-0.2227,0.6421,-0.2277,0.1002,-0.9106,0,
0.07,2.635,1.138,-0.8791,1.182,-3.46,-0.4921,2.67,3.551,2.033,0.6621,0.9143,0.5014,1.816,-0.4315,-37.19,-45.04,4.319,2.837,3.425,1.775,36.06,35.42,-5.671,-4.282,-0.931,-0.8291,0.1952,1.856,0.4305,1.813,-1.594,0.2692,-1.992,-0.1456,1.647,-1.276,20.18,1.994,-2.915,57.39,2.981,0.8814,57.43,5.651,0.8848,110.8,-1.662,8.511,-24.83,0.00598,-3.52,-25.05,3.551,-3.527,-79.16,-3.628,-6.726,20.65,3.171,0.5703,21.53,5.813,-0.4777,21.38,0.1373,-1.407,21.4,-0.2921,-2.139,19.81,-1.947,-0.09291,23.42,1.519,0.403,23.42,-0.2946,0.072,22.14,-0.02361,-0.0734,7.475,-3.681,-13.67,2.337,-1.939,-12.65,4.099,5.958,-3.974,7.642,7.936,-9.74,-1.822,-6.069,-1.616,9.556,-11.56,-1.954,-1.623,-40.9,-16.61,-10.68,18.07,-3.701,-0.8879,11.64,-9.119,-8.534,5.424,-5.072,-2.213,4.536,4.953,-1.624,3.89,-4.521,-0.1627,11.14,-5.159,3.013,10.68,-6.277,1.033,-6.337,1.455,0.2816,-0.4487,0.5039,-0.3693,-0.616,-0.3381,0.09943,-0.7536,-0.1378,-0.1929,-0.5864,-0.3659,-0.6555,-0.09693,-0.7453,-0.6467,0.2766,-0.7108,-0.5787,0.1163,-0.8069,0.4389,-0.6998,0.3371,0.3614,-0.511,0.4234,-0.3047,-0.669,-0.2403,-0.2383,-0.7228,-0.2819,-0.1853,-0.2096,-0.8297,0.6931,-0.2355,0.6503,0.7182,-0.2225,0.6421,-0.2277,0.1002,-0.9106,0,
0.08,2.589,1.126,-0.8708,1.217,-3.452,-0.5197,2.683,3.574,2.038,0.6711,0.9169,0.5058,1.82,-0.4423,-37.22,-45.09,4.315,2.835,3.417,1.797,36.06,35.44,-5.653,-4.245,-0.9441,-0.8385,0.1855,1.847,0.4644,1.872,-1.578,0.2938,-2.018,-0.1725,1.65,-1.269,20.16,2.001,-2.918,57.4,2.988,0.8903,57.44,5.671,0.8937,110.8,-1.652,8.523,-24.9,0.01645,-3.523,-25.12,3.584,-3.529,-79.2,-3.607,-6.775,20.66,3.213,0.5615,21.53,5.81,-0.4753,21.4,0.1529,-1.418,21.41,-0.3114,-2.163,19.82,-1.95,-0.09144,23.42,1.553,0.4159,23.41,-0.319,0.07829,22.14,-0.02361,-0.09423,1.082,2.648,-1.941,6.29,7.431,-3.831,5.073,3.347,-8.389,10.03,-0.905,-5.834,-5.06,-7.35,-1.519,7.253,-14.71,-4.224,-4.126,-38.3,-20.23,-3.002,9.548,1.48,3.878,12.09,-12.78,-2.705,8.345,0.07724,-1.406,-1.484,-3.265,3.669,-1.323,9.108,-16.6,6.525,4.573,4.279,-4.211,-0.8841,2.669,3.541,-3.557,0.2817,-0.4487,0.504,-0.3693,-0.616,-0.3383,0.09949,-0.7537,-0.1379,-0.1928,-0.5865,-0.366,-0.6554,-0.0973,-0.7453,-0.6469,0.2763,-0.7107,-0.5788,0.1164,-0.8067,0.4389,-0.7,0.3369,0.3613,-0.5109,0.4234,-0.3047,-0.669,-0.2404,-0.2385,-0.7229,-0.2818,-0.1853,-0.2096,-0.8297,0.6931,-0.2357,0.6502,0.7183,-0.2223,0.642,-0.2276,0.1,-0.9106,0,
0.09,2.55,1.135,-0.8476,1.249,-3.459,-0.5444,2.705,3.59,2.044,0.6846,0.9287,0.5103,1.821,-0.4559,-37.24,-45.15,4.306,2.847,3.406,1.808,36.05,35.46,-5.63,-4.202,-0.9477,-0.8388,0.1748,1.844,0.4941,1.941,-1.562,0.3273,-2.021,-0.1725,1.643,-1.255,20.15,2.005,-2.918,57.41,2.998,0.9017,57.46,5.703,0.9051,110.8,-1.634,8.546,-24.97,0.02841,-3.52,-25.19,3.612,-3.526,-79.25,-3.597,-6.807,20.67,3.248,0.57,21.52,5.807,-0.4783,21.4,0.1724,-1.424,21.41,-0.321,-2.173,19.83,-1.945,-0.09808,23.4,1.593,0.4142,23.4,-0.348,0.07309,22.14,-0.01998,-0.09919,2.811,4.803,-0.9789,-2.433,9.593,-7.711,6.954,1.741,-5.434,13.09,-1.183,-0.4427,-0.3877,-2.039,-8.881,6.437,-16.88,-7.407,2.976,-39.1,-15.24,6.924,8.425,4.369,-3.108,11.3,3.741,-1.654,10.06,-0.07724,-9.215,7.674,-2.531,-4.09,8.948,-1.573,-8.84,1.462,3.909,2.227,-7.059,0.3978,4.047,-10.06,1.859,0.2818,-0.4487,0.5041,-0.3693,-0.6159,-0.3384,0.09961,-0.7539,-0.138,-0.1928,-0.5865,-0.3662,-0.6554,-0.09766,-0.7452,-0.6471,0.276,-0.7106,-0.5789,0.1164,-0.8067,0.439,-0.7002,0.3366,0.3614,-0.5109,0.4235,-0.3047,-0.669,-0.2407,-0.2385,-0.7229,-0.2818,-0.1852,-0.2096,-0.8297,0.6931,-0.236,0.6503,0.7183,-0.2221,0.6421,-0.2276,0.1,-0.9106,0,
