"Time,s","腰椎屈曲,deg","Lumbar Lateral - RT,deg","Lumbar Axial - RT,deg","胸椎屈曲,deg","Thoracic Lateral - RT,deg","Thoracic Axial - RT,deg","肘关节屈曲 左,deg","肘关节屈曲 右,deg","总肩屈曲 左,deg","总肩屈曲 右,deg","肩屈曲 左,deg","肩屈曲 右,deg","肩外展 左,deg","肩外展 右,deg","Shoulder Rotation - out 左,deg","Shoulder Rotation - out 右,deg","伸腕 左,deg","伸腕 右,deg","手腕径向 左,deg","手腕径向 右,deg","Wrist Supination 左,deg","Wrist Supination 右,deg","髋关节屈曲 左,deg","髋关节屈曲 右,deg","髋关节外展 左,deg","髋关节外展 右,deg","Hip Rotation - out 左,deg","Hip Rotation - out 右,deg","膝关节屈曲 左,deg","膝关节屈曲 右,deg","踝关节背屈 左,deg","踝关节背屈 右,deg","踝关节反转 左,deg","踝关节反转 右,deg","踝关节外展 左,deg","踝关节外展 右,deg","脊椎上部 course,deg","脊椎上部 pitch,deg","脊椎上部 roll,deg","上臂 course 左,deg","上臂 pitch 左,deg","上臂 roll 左,deg","前臂 course 左,deg","前臂 pitch 左,deg","前臂 roll 左,deg","手 course 左,deg","手 pitch 左,deg","手 roll 左,deg","上臂 course 右,deg","上臂 pitch 右,deg","上臂 roll 右,deg","前臂 course 右,deg","前臂 pitch 右,deg","前臂 roll 右,deg","手 course 右,deg","手 pitch 右,deg","手 roll 右,deg","脊椎下部 course,deg","脊椎下部 pitch,deg","脊椎下部 roll,deg","骨盆 course,deg","骨盆 pitch,deg","骨盆 roll,deg","大腿 course 左,deg","大腿 pitch 左,deg","大腿 roll 左,deg","胫骨 course 左,deg","胫骨 pitch 左,deg","胫骨 roll 左,deg","脚 course 左,deg","脚 pitch 左,deg","脚 roll 左,deg","大腿 course 右,deg","大腿 pitch 右,deg","大腿 roll 右,deg","胫骨 course 右,deg","胫骨 pitch 右,deg","胫骨 roll 右,deg","脚 course 右,deg","脚 pitch 右,deg","脚 roll 右,deg","脊椎上部 Accel 传感器 X,mG","脊椎上部 Accel 传感器 Y,mG","脊椎上部 Accel 传感器 Z,mG","上臂 Accel 传感器 X 左,mG","上臂 Accel 传感器 Y 左,mG","上臂 Accel 传感器 Z 左,mG","前臂 Accel 传感器 X 左,mG","前臂 Accel 传感器 Y 左,mG","前臂 Accel 传感器 Z 左,mG","手 Accel 传感器 X 左,mG","手 Accel 传感器 Y 左,mG","手 Accel 传感器 Z 左,mG","上臂 Accel 传感器 X 右,mG","上臂 Accel 传感器 Y 右,mG","上臂 Accel 传感器 Z 右,mG","前臂 Accel 传感器 X 右,mG","前臂 Accel 传感器 Y 右,mG","前臂 Accel 传感器 Z 右,mG","手 Accel 传感器 X 右,mG","手 Accel 传感器 Y 右,mG","手 Accel 传感器 Z 右,mG","脊椎下部 Accel 传感器 X,mG","脊椎下部 Accel 传感器 Y,mG","脊椎下部 Accel 传感器 Z,mG","骨盆 Accel 传感器 X,mG","骨盆 Accel 传感器 Y,mG","骨盆 Accel 传感器 Z,mG","大腿 Accel 传感器 X 左,mG","大腿 Accel 传感器 Y 左,mG","大腿 Accel 传感器 Z 左,mG","胫骨 Accel 传感器 X 左,mG","胫骨 Accel 传感器 Y 左,mG","胫骨 Accel 传感器 Z 左,mG","脚 Accel 传感器 X 左,mG","脚 Accel 传感器 Y 左,mG","脚 Accel 传感器 Z 左,mG","大腿 Accel 传感器 X 右,mG","大腿 Accel 传感器 Y 右,mG","大腿 Accel 传感器 Z 右,mG","胫骨 Accel 传感器 X 右,mG","胫骨 Accel 传感器 Y 右,mG","胫骨 Accel 传感器 Z 右,mG","脚 Accel 传感器 X 右,mG","脚 Accel 传感器 Y 右,mG","脚 Accel 传感器 Z 右,mG","脊椎上部 Rot X,","脊椎上部 Rot Y,","脊椎上部 Rot Z,","左 上臂 Rot X,","左 上臂 Rot Y,","左 上臂 Rot Z,","左 前臂 Rot X,","左 前臂 Rot Y,","左 前臂 Rot Z,","左 手 Rot X,","左 手 Rot Y,","左 手 Rot Z,","右 上臂 Rot X,","右 上臂 Rot Y,","右 上臂 Rot Z,","右 前臂 Rot X,","右 前臂 Rot Y,","右 前臂 Rot Z,","右 手 Rot X,","右 手 Rot Y,","右 手 Rot Z,","脊椎下部 Rot X,","脊椎下部 Rot Y,","脊椎下部 Rot Z,","骨盆 Rot X,","骨盆 Rot Y,","骨盆 Rot Z,","左 大腿 Rot X,","左 大腿 Rot Y,","左 大腿 Rot Z,","左 胫骨 Rot X,","左 胫骨 Rot Y,","左 胫骨 Rot Z,","左 脚 Rot X,","左 脚 Rot Y,","左 脚 Rot Z,","右 大腿 Rot X,","右 大腿 Rot Y,","右 大腿 Rot Z,","右 胫骨 Rot X,","右 胫骨 Rot Y,","右 胫骨 Rot Z,","右 脚 Rot X,","右 脚 Rot Y,","右 脚 Rot Z,"
0,-2.812,-0.3926,-0.9664,9.951,-0.07906,0.7217,5.022,9.077,10.06,4.425,9.103,3.899,4.36,2.1,-42.27,-32.86,-2.46,2.302,-2.354,2.613,61.27,47.06,0.02244,-0.1513,2.38,-0.3953,12.16,3.031,1.729,1.827,-1.672,0.174,1.197,-0.3957,3.962,6.429,-82.61,-6.912,-0.5126,-40.18,-0.956,4.276,-39.81,4.052,4.286,-11.01,3.953,3.356,-115.6,-3.945,-0.5466,-115.7,5.132,-0.5472,-158.5,1.096,-6.503,-83.41,3.033,-0.4695,-82.44,0.2215,-0.07307,-94.59,0.7239,2.205,-94.64,-1.003,1.19,-98.64,-2.588,0.1762,-79.4,0.05311,0.3254,-79.42,-1.774,0.8378,-72.99,-1.684,0.2583,-4.884,-7.817,7.809,23.45,-39.55,5.865,58.6,16.12,35.15,48.82,1.959,30.27,-5.362,-20.01,-11.72,40.52,62,13.18,-6.832,130.4,-24.9,13.67,4.398,2.452,3.913,5.85,4.406,-3.398,-8.784,-1.467,-2.911,-2.443,0,-3.389,-3.954,3.955,-8.778,-9.258,7.336,2.002,-22,-1.46,-2.963,-3.503,-3.865,0.5107,0.001831,0.8548,0.2689,-0.5856,0.3682,0.7278,-0.3006,0.4079,0.5002,-0.4533,0.4009,-0.431,-0.5326,-0.4769,-0.7188,-0.2393,-0.4342,-0.5452,-0.4111,-0.4968,0.7746,-0.08667,0.6242,0.6106,-0.05005,0.788,0.4923,-0.5845,0.474,0.5427,-0.5467,0.4617,0.03668,-0.2578,0.1395,-0.539,-0.5342,-0.4683,-0.5672,-0.5328,-0.4854,-0.1133,-0.2242,-0.2915
0.01,-2.816,-0.3886,-0.966,9.97,-0.0961,0.7537,4.901,8.705,9.809,4.358,8.857,3.87,4.282,2.009,-42.21,-33.28,-2.494,2.228,-2.472,2.432,61.17,47.18,0.006412,-0.1614,2.378,-0.3966,12.14,3.045,1.718,1.829,-1.664,0.1879,1.196,-0.3913,3.957,6.44,-82.6,-6.922,-0.5252,-40.25,-1.079,4.042,-39.9,3.81,4.05,-11.02,3.879,2.917,-116,-3.938,-0.4314,-116.1,4.768,-0.4318,-158.8,0.9861,-5.984,-83.44,3.042,-0.4672,-82.46,0.2271,-0.07452,-94.59,0.713,2.203,-94.65,-1.005,1.183,-98.64,-2.582,0.1694,-79.42,0.04849,0.325,-79.43,-1.781,0.8262,-72.99,-1.676,0.2509,-6.364,-12.7,12.69,16.61,-31.25,8.301,51.25,16.12,33.68,48.82,20.03,29.29,-12.68,-1.953,-16.61,35.17,55.18,30.27,-0.9709,124.5,-21.97,0,0.4725,-3.917,5.87,0,16.59,-7.82,-13.21,12.21,-5.821,1.454,0,-9.198,-6.829,-0.9889,-10.73,-12.22,14.63,-5.851,-7.334,-1.46,-10.16,-6.831,3.865,0.5106,0.001709,0.8548,0.269,-0.587,0.3692,0.7265,-0.3018,0.4106,0.4986,-0.4558,0.4026,-0.4307,-0.5335,-0.476,-0.7174,-0.2421,-0.4362,-0.5423,-0.4154,-0.4976,0.7747,-0.08649,0.6241,0.6107,-0.04993,0.788,0.4923,-0.5845,0.474,0.5428,-0.5467,0.4617,0.03675,-0.2577,0.1395,-0.5388,-0.5343,-0.4682,-0.567,-0.5329,-0.4855,-0.1133,-0.2241,-0.2915
0.02,-2.821,-0.3997,-0.9724,9.974,-0.1042,0.7817,4.773,8.324,9.551,4.263,8.607,3.816,4.203,1.906,-42.13,-33.67,-2.528,2.138,-2.551,2.262,61.02,47.3,0.009617,-0.1636,2.374,-0.3885,12.13,3.044,1.715,1.827,-1.662,0.1879,1.194,-0.3886,3.949,6.471,-82.6,-6.921,-0.5349,-40.34,-1.2,3.813,-40.02,3.563,3.82,-10.99,3.795,2.519,-116.4,-3.932,-0.2974,-116.5,4.391,-0.2975,-159,0.8959,-5.455,-83.47,3.046,-0.4703,-82.49,0.2265,-0.06656,-94.6,0.7152,2.207,-94.65,-0.9993,1.183,-98.64,-2.571,0.1694,-79.44,0.04503,0.3248,-79.46,-1.781,0.8233,-72.98,-1.676,0.2495,-7.807,-3.903,3.912,13.68,-19.53,15.62,35.17,13.19,20.5,39.57,30.77,43.45,-13.66,21.96,5.854,41,66.4,20.51,-8.774,114.7,-13.18,-4.388,-4.87,2.93,-10.75,-7.825,12.7,-3.883,-13.66,10.27,-6.792,1.978,6.326,1.452,-0.4792,6.329,-5.852,-4.351,5.843,-7.39,4.869,4.865,-7.408,-1.927,5.797,0.5106,0.001648,0.8548,0.2692,-0.5884,0.3702,0.7252,-0.3032,0.4133,0.497,-0.4582,0.4041,-0.4305,-0.5346,-0.4751,-0.7159,-0.245,-0.4383,-0.5395,-0.4196,-0.4984,0.7747,-0.08631,0.6241,0.6107,-0.04975,0.788,0.4924,-0.5844,0.4741,0.5428,-0.5467,0.4617,0.03674,-0.2576,0.1395,-0.5386,-0.5346,-0.468,-0.5669,-0.533,-0.4854,-0.1133,-0.2241,-0.2916
0.03,-2.81,-0.4013,-0.9679,9.951,-0.1202,0.7991,4.648,7.943,9.275,4.156,8.342,3.75,4.114,1.799,-42.05,-34.04,-2.534,2.007,-2.603,2.076,60.83,47.44,0.01923,-0.1614,2.36,-0.3953,12.1,3.049,1.718,1.832,-1.653,0.1948,1.18,-0.3903,3.941,6.488,-82.61,-6.914,-0.548,-40.43,-1.319,3.568,-40.14,3.321,3.573,-10.93,3.693,2.138,-116.8,-3.932,-0.1616,-116.8,4.011,-0.1619,-159.3,0.8441,-4.904,-83.5,3.03,-0.4682,-82.51,0.222,-0.06302,-94.61,0.7174,2.196,-94.66,-0.9993,1.176,-98.64,-2.565,0.1762,-79.47,0.04272,0.3349,-79.49,-1.789,0.8201,-72.99,-1.676,0.2443,-6.364,-10.74,3.912,15.62,-8.307,14.17,24.89,16.61,18.06,49.33,48.34,48.33,-5.868,42.96,5.368,33.68,62,21.97,-4.89,107.9,9.276,-3.884,-3.889,10.73,-5.87,-5.85,13.67,0.4854,-10.29,-0.4783,-1.94,-4.421,1.965,-2.42,1.438,3.955,-5.852,-7.777,1.933,-4.465,4.869,3.406,-4.445,-4.379,-5.383,0.5107,0.001587,0.8548,0.2694,-0.5898,0.3712,0.7239,-0.3046,0.4159,0.4951,-0.4606,0.4055,-0.4303,-0.5357,-0.4743,-0.7144,-0.2479,-0.4405,-0.5369,-0.4239,-0.4992,0.7747,-0.08612,0.6242,0.6107,-0.04956,0.7881,0.4925,-0.5845,0.474,0.5429,-0.5467,0.4617,0.03668,-0.2576,0.1395,-0.5384,-0.5348,-0.4678,-0.5668,-0.5331,-0.4854,-0.1132,-0.2241,-0.2915
0.04,-2.803,-0.3908,-0.9765,9.945,-0.1322,0.8421,4.516,7.583,9.004,4.056,8.083,3.683,4.021,1.704,-41.97,-34.36,-2.532,1.841,-2.641,1.858,60.6,47.56,0.01817,-0.1591,2.372,-0.406,12.07,3.07,1.71,1.838,-1.652,0.1995,1.165,-0.3892,3.939,6.501,-82.61,-6.914,-0.5575,-40.52,-1.438,3.324,-40.25,3.071,3.328,-10.83,3.575,1.767,-117.1,-3.939,-0.0318,-117.1,3.644,-0.03186,-159.5,0.8319,-4.338,-83.54,3.024,-0.4681,-82.55,0.2224,-0.07339,-94.61,0.7163,2.197,-94.66,-0.9934,1.168,-98.64,-2.559,0.1831,-79.48,0.04503,0.3355,-79.5,-1.793,0.8129,-72.99,-1.676,0.2377,-3.922,-4.398,2.927,15.62,-5.374,10.25,10.76,25.89,0.4939,37.59,43.45,57.62,1.956,49.8,-0.4854,29.78,53.7,25.39,-1.474,96.2,16.11,-2.421,-7.814,11.24,-2.923,-3.912,7.332,-7.82,-18.54,8.801,2.426,2.909,5.847,-10.17,-4.433,-5.834,-4.877,-3.426,-9.752,-2.463,-7.334,-0.4865,-5.291,-0.5255,2.485,0.5107,0.001526,0.8548,0.2695,-0.5913,0.3721,0.7226,-0.3059,0.4185,0.493,-0.463,0.4066,-0.4302,-0.5367,-0.4737,-0.7129,-0.2506,-0.4427,-0.5346,-0.4282,-0.5,0.7747,-0.08582,0.6243,0.6107,-0.04944,0.7881,0.4925,-0.5844,0.4741,0.5429,-0.5467,0.4616,0.03662,-0.2575,0.1395,-0.5383,-0.5349,-0.4677,-0.5666,-0.5332,-0.4854,-0.1132,-0.2241,-0.2915
0.05,-2.782,-0.3959,-0.9906,9.929,-0.1259,0.8817,4.379,7.223,8.729,3.965,7.829,3.623,3.908,1.616,-41.9,-34.63,-2.486,1.644,-2.659,1.622,60.33,47.66,0.009617,-0.1737,2.362,-0.4093,12.05,3.094,1.704,1.841,-1.636,0.2157,1.138,-0.3924,3.926,6.514,-82.62,-6.913,-0.5551,-40.6,-1.549,3.077,-40.36,2.824,3.08,-10.68,3.417,1.417,-117.4,-3.937,0.09411,-117.4,3.286,0.09429,-159.7,0.851,-3.764,-83.59,3.008,-0.4736,-82.59,0.228,-0.07363,-94.63,0.7097,2.189,-94.68,-0.9934,1.158,-98.64,-2.542,0.1988,-79.49,0.03579,0.338,-79.51,-1.802,0.8153,-72.99,-1.67,0.2377,9.287,-2.441,3.912,21.48,-0.9825,17.58,12.22,43.46,3.909,43.96,45.41,38.09,0.4721,41.99,-0.9707,35.17,49.31,18.06,9.277,84.47,12.69,0.5044,-7.342,19.04,0,-8.774,6.335,-2.912,-16.59,3.891,0.4851,-2.909,0,-3.873,-4.433,0.4944,-0.9754,-11.76,-6.853,2.925,-7.84,-2.919,-3.81,-9.283,6.35,0.5107,0.001587,0.8548,0.2697,-0.5928,0.373,0.7212,-0.3073,0.4211,0.4904,-0.4655,0.4077,-0.4304,-0.5374,-0.4734,-0.7116,-0.2532,-0.445,-0.5326,-0.4325,-0.5008,0.7746,-0.08551,0.6244,0.6107,-0.04926,0.7881,0.4926,-0.5844,0.4741,0.5431,-0.5466,0.4616,0.0365,-0.2574,0.1396,-0.5381,-0.5351,-0.4676,-0.5666,-0.5333,-0.4854,-0.1132,-0.2241,-0.2915
0.06,-2.78,-0.3875,-0.9988,9.941,-0.1261,0.9097,4.227,6.869,8.482,3.897,7.604,3.584,3.802,1.537,-41.86,-34.83,-2.432,1.4,-2.67,1.359,60.02,47.76,0.02244,-0.1636,2.371,-0.4157,12.02,3.129,1.707,1.855,-1.624,0.2238,1.134,-0.3897,3.909,6.531,-82.65,-6.931,-0.5549,-40.67,-1.658,2.839,-40.46,2.564,2.841,-10.47,3.234,1.073,-117.6,-3.938,0.2063,-117.6,2.931,0.2062,-159.8,0.9097,-3.176,-83.64,3.002,-0.4746,-82.63,0.2239,-0.08296,-94.64,0.7163,2.186,-94.69,-0.9895,1.154,-98.63,-2.53,0.1968,-79.5,0.04272,0.3355,-79.52,-1.812,0.8113,-72.99,-1.67,0.2355,4.403,-8.301,-1.956,23.92,11.72,22.47,19.53,61.52,4.389,41.03,55.66,50.3,5.362,32.71,6.354,41.49,48.83,16.12,20.5,75.2,21.97,5.347,0,21.97,-4.88,-9.268,19.52,0,-12.69,0,-1.94,-0.989,22.96,-8.23,-6.829,7.318,3.451,-5.833,-4.393,-3.387,-14.16,-4.865,0.4233,8.232,5.383,0.5106,0.001709,0.8549,0.2698,-0.5942,0.3738,0.7198,-0.3088,0.4236,0.4876,-0.468,0.4085,-0.4307,-0.5379,-0.4732,-0.7103,-0.2556,-0.4474,-0.5309,-0.4367,-0.5016,0.7746,-0.08515,0.6245,0.6107,-0.04907,0.7881,0.4928,-0.5842,0.4742,0.5431,-0.5466,0.4617,0.0365,-0.2573,0.1395,-0.538,-0.5353,-0.4674,-0.5665,-0.5334,-0.4854,-0.1132,-0.2241,-0.2916
0.07,-2.763,-0.3927,-0.9938,9.945,-0.09656,0.9088,4.06,6.529,8.232,3.826,7.388,3.532,3.673,1.475,-41.84,-34.99,-2.36,1.154,-2.676,1.095,59.65,47.87,0.02565,-0.1659,2.356,-0.4152,11.99,3.148,1.707,1.872,-1.613,0.2378,1.117,-0.3973,3.9,6.555,-82.69,-6.946,-0.5299,-40.74,-1.76,2.61,-40.56,2.297,2.611,-10.21,3.023,0.7378,-117.8,-3.942,0.3262,-117.8,2.586,0.3259,-159.9,0.9838,-2.587,-83.68,2.991,-0.4789,-82.68,0.2293,-0.08199,-94.66,0.7217,2.171,-94.71,-0.9855,1.147,-98.64,-2.513,0.2046,-79.53,0.04503,0.3361,-79.55,-1.826,0.8064,-72.99,-1.67,0.2223,9.287,-4.398,-5.853,28.32,9.766,15.13,15.63,68.85,1.468,31.27,57.62,34.17,0,15.14,-9.281,35.17,34.66,6.838,27.33,62.5,32.72,0.5044,-8.795,12.2,-3.913,-10.75,2.926,0.9707,-21.02,-12.21,5.821,-1.454,13.66,-8.714,-4.912,-3.461,8.778,-3.889,-7.336,0.4619,-8.789,-4.379,-4.868,-5.78,0.9662,0.5105,0.002075,0.855,0.27,-0.5956,0.3746,0.7182,-0.3104,0.4261,0.4844,-0.4706,0.4092,-0.4311,-0.5384,-0.4732,-0.709,-0.258,-0.4499,-0.5295,-0.4408,-0.5025,0.7746,-0.0849,0.6246,0.6108,-0.04883,0.7881,0.4931,-0.5841,0.4743,0.5433,-0.5465,0.4616,0.03644,-0.2572,0.1396,-0.5379,-0.5354,-0.4673,-0.5663,-0.5335,-0.4854,-0.113,-0.2241,-0.2916
0.08,-2.753,-0.3936,-0.9827,9.961,-0.07719,0.903,3.875,6.191,8.02,3.758,7.205,3.489,3.559,1.399,-41.81,-35.12,-2.266,0.8976,-2.693,0.8252,59.24,47.99,0.02992,-0.167,2.355,-0.4152,11.95,3.168,1.696,1.88,-1.624,0.247,1.109,-0.3886,3.885,6.584,-82.74,-6.973,-0.5158,-40.81,-1.848,2.398,-40.65,2.024,2.399,-9.898,2.779,0.4029,-118,-3.947,0.4491,-118,2.243,0.4486,-160,1.07,-1.993,-83.72,2.981,-0.4833,-82.73,0.2295,-0.08561,-94.67,0.7239,2.167,-94.72,-0.9737,1.14,-98.64,-2.513,0.2046,-79.56,0.04503,0.3326,-79.58,-1.837,0.7984,-72.99,-1.67,0.2223,0,0,-3.412,22.46,6.833,24.9,21.97,77.64,2.935,30.28,63.48,34.67,4.384,8.294,-6.354,39.07,27.84,12.69,35.17,45.42,39.06,5.851,0.4725,-0.4777,4.385,0,5.853,6.849,-19.07,0.9886,0.4851,-6.341,-0.4792,-1.452,0.4792,5.34,2.476,-3.426,-4.876,2.002,-11.25,-6.325,-12.28,-8.758,-0.5521,0.5103,0.00238,0.8552,0.2703,-0.5968,0.3753,0.7165,-0.3122,0.4285,0.4807,-0.4734,0.4098,-0.4315,-0.5388,-0.4732,-0.7079,-0.2601,-0.4524,-0.5282,-0.4448,-0.5035,0.7746,-0.08466,0.6247,0.6108,-0.04859,0.7881,0.4934,-0.5839,0.4744,0.5434,-0.5464,0.4616,0.03644,-0.2572,0.1396,-0.5377,-0.5355,-0.4672,-0.5661,-0.5337,-0.4854,-0.113,-0.2241,-0.2916
0.09,-2.741,-0.3921,-0.9628,9.976,-0.05719,0.8808,3.657,5.868,7.811,3.693,7.03,3.445,3.44,1.333,-41.81,-35.23,-2.181,0.6403,-2.693,0.5491,58.77,48.13,0.04916,-0.1513,2.355,-0.4163,11.92,3.185,1.699,1.903,-1.622,0.2656,1.098,-0.3892,3.877,6.61,-82.79,-7.003,-0.4951,-40.86,-1.937,2.19,-40.72,1.718,2.189,-9.513,2.516,0.06968,-118.2,-3.957,0.5694,-118.1,1.911,0.5683,-160,1.162,-1.402,-83.75,2.965,-0.4811,-82.77,0.225,-0.08513,-94.69,0.7369,2.164,-94.74,-0.9619,1.132,-98.65,-2.501,0.2066,-79.59,0.05542,0.3347,-79.61,-1.847,0.7919,-72.99,-1.662,0.215,0,6.838,3.912,16.61,13.19,21.49,10.24,72.75,2.441,33.68,75.19,49.32,5.362,-0.4829,-2.442,34.68,9.77,11.72,48.83,33.19,33.2,4.388,-3.416,-3.407,0.9665,-0.4938,18.55,5.878,-18.09,9.28,2.911,-9.25,4.888,-2.905,-6.35,-0.4944,-3.451,-2.963,0.4832,-2.463,-1.454,0.4865,3.81,4.379,0.9662,0.51,0.002747,0.8553,0.2704,-0.598,0.3759,0.7145,-0.3141,0.4309,0.4766,-0.4763,0.41,-0.4319,-0.5393,-0.4732,-0.7068,-0.2621,-0.455,-0.5271,-0.4486,-0.5047,0.7745,-0.08448,0.6248,0.6108,-0.04834,0.7882,0.4936,-0.5837,0.4745,0.5436,-0.5463,0.4616,0.03644,-0.257,0.1397,-0.5375,-0.5357,-0.4669,-0.5659,-0.5339,-0.4853,-0.113,-0.224,-0.2916
